"","month","origin_state","dest_state","N"
"298",1,"maryland","texas",620
"299",1,"maryland","connecticut",152
"300",1,"maryland","alabama",30
"301",1,"maryland","tennessee",219
"302",1,"maryland","massachusetts",363
"303",1,"maryland","south carolina",134
"304",1,"maryland","ohio",159
"305",1,"maryland","north carolina",553
"306",1,"maryland","kentucky",214
"307",1,"maryland","colorado",222
"308",1,"maryland","michigan",267
"309",1,"maryland","florida",1591
"310",1,"maryland","indiana",89
"311",1,"maryland","nevada",151
"312",1,"maryland","california",316
"313",1,"maryland","missouri",127
"314",1,"maryland","illinois",383
"315",1,"maryland","new hampshire",126
"316",1,"maryland","wisconsin",60
"317",1,"maryland","minnesota",122
"318",1,"maryland","louisiana",101
"319",1,"maryland","oklahoma",28
"320",1,"maryland","virginia",117
"321",1,"maryland","arizona",96
"322",1,"maryland","pennsylvania",88
"323",1,"maryland","rhode island",153
"324",1,"maryland","maine",91
"325",1,"maryland","puerto rico",99
"326",1,"maryland","utah",62
"327",1,"south carolina","tennessee",37
"328",1,"south carolina","maryland",134
"329",1,"south carolina","texas",371
"330",1,"south carolina","illinois",156
"331",1,"ohio","georgia",780
"332",1,"ohio","tennessee",113
"333",1,"ohio","maryland",180
"334",1,"ohio","colorado",275
"335",1,"ohio","illinois",1220
"336",1,"ohio","wisconsin",49
"337",1,"ohio","missouri",135
"338",1,"ohio","massachusetts",273
"339",1,"ohio","texas",620
"340",1,"ohio","virginia",536
"341",1,"ohio","florida",1276
"342",1,"ohio","nevada",170
"343",1,"ohio","arizona",104
"344",1,"texas","alabama",934
"345",1,"texas","ohio",621
"346",1,"texas","indiana",511
"347",1,"texas","oklahoma",1458
"348",1,"virginia","texas",1461
"349",1,"virginia","tennessee",553
"350",1,"virginia","ohio",532
"351",1,"virginia","missouri",444
"352",1,"virginia","wisconsin",80
"353",1,"virginia","louisiana",250
"354",1,"virginia","oklahoma",92
"355",1,"virginia","nebraska",53
"356",1,"virginia","rhode island",292
"357",1,"colorado","new mexico",205
"358",1,"colorado","georgia",579
"359",1,"colorado","texas",3067
"360",1,"colorado","tennessee",359
"361",1,"colorado","idaho",227
"362",1,"colorado","massachusetts",246
"363",1,"colorado","california",3605
"364",1,"colorado","maryland",221
"365",1,"colorado","ohio",273
"366",1,"colorado","kentucky",167
"367",1,"colorado","michigan",268
"368",1,"colorado","florida",1125
"369",1,"colorado","washington",741
"370",1,"colorado","virginia",474
"371",1,"colorado","indiana",177
"372",1,"colorado","nevada",773
"373",1,"colorado","new york",524
"374",1,"colorado","missouri",588
"375",1,"colorado","illinois",1014
"376",1,"colorado","wisconsin",220
"377",1,"colorado","minnesota",484
"378",1,"colorado","louisiana",242
"379",1,"colorado","oklahoma",306
"380",1,"colorado","nebraska",429
"381",1,"colorado","oregon",442
"382",1,"colorado","pennsylvania",292
"383",1,"colorado","arizona",1204
"384",1,"colorado","north carolina",360
"385",1,"colorado","utah",970
"386",1,"iowa","nevada",51
"387",1,"iowa","missouri",57
"388",1,"michigan","tennessee",441
"389",1,"michigan","maryland",242
"390",1,"michigan","colorado",269
"391",1,"michigan","illinois",1733
"392",1,"michigan","missouri",322
"393",1,"washington","idaho",310
"394",1,"michigan","florida",1745
"395",1,"south carolina","georgia",1080
"396",1,"texas","south carolina",373
"397",1,"virginia","colorado",471
"398",1,"kansas","nevada",40
"399",1,"kansas","arizona",71
"400",1,"kansas","missouri",58
"401",1,"indiana","georgia",654
"402",1,"indiana","maryland",87
"403",1,"indiana","texas",511
"404",1,"indiana","colorado",180
"405",1,"indiana","florida",810
"406",1,"indiana","nevada",126
"407",1,"indiana","missouri",54
"408",1,"indiana","illinois",714
"409",1,"indiana","arizona",132
"410",1,"nevada","new mexico",101
"411",1,"nevada","texas",1720
"412",1,"nevada","georgia",390
"413",1,"nevada","alabama",27
"414",1,"nevada","tennessee",161
"415",1,"nevada","idaho",80
"416",1,"nevada","new york",335
"417",1,"nevada","maryland",154
"418",1,"nevada","ohio",173
"419",1,"nevada","iowa",51
"420",1,"nevada","washington",789
"421",1,"nevada","kansas",40
"422",1,"nevada","indiana",130
"423",1,"nevada","arkansas",40
"424",1,"nevada","missouri",261
"425",1,"nevada","florida",395
"426",1,"nevada","illinois",645
"427",1,"nevada","wisconsin",117
"428",1,"nevada","louisiana",84
"429",1,"nevada","oklahoma",117
"430",1,"nevada","nebraska",105
"431",1,"nevada","oregon",334
"432",1,"nevada","pennsylvania",189
"433",1,"nevada","kentucky",104
"434",1,"nevada","utah",509
"435",1,"new york","georgia",1811
"436",1,"new york","tennessee",833
"437",1,"new york","texas",1598
"438",1,"new york","colorado",524
"439",1,"new york","missouri",490
"440",1,"new york","wisconsin",256
"441",1,"new york","louisiana",236
"442",1,"arkansas","texas",1058
"443",1,"arkansas","nevada",40
"444",1,"arkansas","missouri",56
"445",1,"missouri","new mexico",24
"446",1,"missouri","indiana",51
"447",1,"florida","michigan",1742
"448",1,"illinois","new mexico",110
"449",1,"illinois","new york",2241
"450",1,"illinois","georgia",1244
"451",1,"illinois","texas",2280
"452",1,"illinois","connecticut",233
"453",1,"illinois","alabama",239
"454",1,"illinois","tennessee",847
"455",1,"illinois","massachusetts",709
"456",1,"illinois","california",2171
"457",1,"illinois","maryland",362
"458",1,"illinois","south carolina",154
"459",1,"illinois","ohio",1227
"460",1,"illinois","north carolina",976
"461",1,"illinois","kentucky",942
"462",1,"illinois","virginia",1383
"463",1,"illinois","colorado",1012
"464",1,"illinois","michigan",1774
"465",1,"illinois","florida",3202
"466",1,"illinois","indiana",714
"467",1,"illinois","nevada",655
"468",1,"illinois","missouri",1238
"469",1,"illinois","new hampshire",64
"470",1,"illinois","minnesota",1202
"471",1,"illinois","louisiana",262
"472",1,"illinois","nebraska",414
"473",1,"illinois","oregon",200
"474",1,"illinois","pennsylvania",1154
"475",1,"illinois","arizona",810
"476",1,"illinois","rhode island",121
"477",1,"illinois","washington",431
"478",1,"illinois","utah",368
"479",1,"new hampshire","maryland",126
"480",1,"new hampshire","florida",121
"481",1,"new hampshire","illinois",64
"482",1,"wisconsin","georgia",419
"483",1,"wisconsin","tennessee",56
"484",1,"wisconsin","maryland",64
"485",1,"wisconsin","ohio",27
"486",1,"wisconsin","texas",283
"487",1,"wisconsin","virginia",80
"488",1,"wisconsin","colorado",244
"489",1,"wisconsin","florida",378
"490",1,"wisconsin","nevada",117
"491",1,"wisconsin","new york",256
"492",1,"wisconsin","missouri",83
"493",1,"wisconsin","arizona",206
"494",1,"minnesota","tennessee",270
"495",1,"minnesota","maryland",141
"496",1,"minnesota","texas",728
"497",1,"minnesota","colorado",458
"498",1,"minnesota","missouri",398
"499",1,"minnesota","illinois",1230
"500",1,"minnesota","california",730
"501",1,"minnesota","arizona",374
"502",1,"louisiana","georgia",1103
"503",1,"louisiana","tennessee",155
"504",1,"louisiana","maryland",124
"505",1,"texas","kansas",461
"506",1,"new york","virginia",2297
"507",1,"north carolina","north carolina",3006
"508",1,"texas","montana",109
"509",1,"new york","north carolina",2264
"510",1,"north carolina","new york",2266
"511",1,"virginia","north carolina",1910
"512",1,"north carolina","virginia",1898
"513",1,"texas","iowa",290
"514",1,"iowa","illinois",638
"515",1,"illinois","iowa",641
"516",1,"iowa","texas",291
"517",1,"texas","washington",584
"518",1,"new york","pennsylvania",701
"519",1,"kansas","texas",460
"520",1,"illinois","illinois",1028
"521",1,"wisconsin","illinois",864
"522",1,"virginia","new york",2321
"523",1,"ohio","new york",997
"524",1,"new york","ohio",998
"525",1,"pennsylvania","new york",702
"526",1,"new jersey","illinois",415
"527",1,"illinois","new jersey",413
"528",1,"north dakota","illinois",186
