"","geoID","pop","cases","deaths"
"1358",21131,9877,53,0
"1359",21133,21553,116,2
"1360",21135,13275,217,14
"1361",21137,24549,179,13
"1362",21139,9194,81,1
"1363",21141,27102,545,27
"1364",21143,8210,66,4
"1365",21145,65418,682,6
"1366",21147,17231,140,0
"1367",21149,9207,72,1
"1368",21151,92987,1601,6
"1369",21153,12161,79,0
"1370",21155,19273,215,7
"1371",21157,31100,260,2
"1372",21159,11195,74,3
"1373",21161,17070,120,2
"1374",21163,28572,188,3
"1375",21165,6489,42,0
"1376",21167,21933,193,2
"1377",21169,10071,106,2
"1378",21171,10650,200,4
"1379",21173,28157,237,3
"1380",21175,13309,52,0
"1381",21177,30622,732,12
"1382",21179,46233,473,4
"1383",21181,7269,29,1
"1384",21183,23994,438,9
"1385",21185,66799,1059,25
"1386",21187,10901,91,2
"1387",21189,4415,37,1
"1388",21191,14590,92,0
"1389",21193,25758,326,8
"1390",21195,57876,381,3
"1391",21197,12359,90,0
"1392",21199,64979,728,10
"1393",21201,2108,12,0
"1394",21203,16695,159,1
"1395",21205,24460,203,1
"1396",21207,17923,238,6
"1397",21209,57004,715,9
"1398",21211,49024,1026,24
"1399",21213,18572,264,8
"1400",21215,19351,197,0
"1401",21217,25769,281,6
"1402",21219,12294,178,8
"1403",21221,14651,161,0
"1404",21223,8471,57,0
"1405",21225,14381,285,2
"1406",21227,132896,4125,41
"1407",21229,12095,141,1
"1408",21231,20333,125,0
"1409",21233,12942,147,3
"1410",21235,36264,277,2
"1411",21237,7157,30,0
"1412",21239,26734,252,0
"1413",22001,62045,2917,96
"1414",22003,25627,1530,45
"1415",22005,126604,3657,96
"1416",22007,21891,740,24
"1417",22009,40144,1461,53
"1418",22011,37497,980,37
"1419",22013,13241,452,32
"1420",22015,127039,3068,104
"1421",22017,240204,8188,342
"1422",22019,203436,7708,207
"1423",22021,9918,298,3
"1424",22023,6973,220,2
"1425",22025,9494,426,10
"1426",22027,15670,485,19
"1427",22029,19259,499,12
"1428",22031,27463,876,35
"1429",22033,440059,14813,436
"1430",22035,6861,541,4
"1431",22037,19135,1713,66
"1432",22039,33395,1288,31
"1433",22041,20015,1179,35
"1434",22043,22389,479,30
"1435",22045,69830,2868,89
"1436",22047,32511,1403,58
"1437",22049,15744,611,22
"1438",22051,432493,17198,564
"1439",22053,31368,1219,38
"1440",22055,244390,8778,122
"1441",22057,97614,3523,119
"1442",22059,14892,417,7
"1443",22061,46742,1097,47
"1444",22063,140789,3677,73
"1445",22065,10951,861,8
"1446",22067,24874,743,20
"1447",22069,38158,1071,25
"1448",22071,390144,12287,585
"1449",22073,153279,6010,139
"1450",22075,23197,661,19
"1451",22077,21730,1037,40
"1452",22079,129648,4067,144
"1453",22081,8442,351,21
"1454",22083,20122,746,10
"1455",22085,23884,825,13
"1456",22087,47244,1350,28
"1457",22089,53100,1756,58
"1458",22091,10132,399,4
"1459",22093,21096,792,40
"1460",22095,42837,1574,98
"1461",22097,82124,3248,124
"1462",22099,53431,2062,60
"1463",22101,49348,1865,76
"1464",22103,260419,6779,250
"1465",22105,134758,4365,116
"1466",22107,4334,158,2
"1467",22109,110461,3566,109
"1468",22111,22108,940,42
"1469",22113,59511,1991,57
"1470",22115,47429,1024,46
"1471",22117,46194,1587,65
"1472",22119,38340,1174,22
"1473",22121,26465,878,41
"1474",22123,10830,336,9
"1475",22125,15568,678,25
"1476",22127,13904,603,18
"1477",23001,108277,674,10
"1478",23003,67055,41,1
"1479",23005,295003,2273,70
"1480",23007,30199,58,1
"1481",23009,54987,53,1
"1482",23011,122302,205,11
"1483",23013,39772,35,1
"1484",23015,34634,39,1
"1485",23017,57975,114,0
"1486",23019,152148,252,6
"1487",23021,16785,8,0
"1488",23023,35856,64,0
"1489",23025,50484,85,8
"1490",23027,39715,73,14
"1491",23029,31379,15,0
"1492",23031,207641,1045,15
"1493",24001,70416,443,22
"1494",24003,579234,9559,244
"1495",24005,827370,17365,617
"1496",24009,92525,905,28
"1497",24011,33406,632,4
"1498",24013,168447,1900,124
"1499",24015,102855,985,33
"1500",24017,163257,2686,98
"1501",24019,31929,568,10
"1502",24021,259547,3896,129
"1503",24023,29014,72,1
"1504",24025,255441,2915,76
"1505",24027,325690,4912,120
"1506",24029,19422,295,24
"1507",24031,1050688,21760,837
"1508",24033,909327,28495,816
"1509",24035,50381,634,26
"1510",24037,113510,1248,57
"1511",24039,25616,244,4
"1512",24041,37181,528,5
"1513",24043,151049,1627,36
"1514",24045,103609,1879,48
"1515",24047,52276,992,26
"1516",24510,593490,15204,480
"1517",25001,212990,1935,172
"1518",25003,124944,742,49
"1519",25005,565217,10386,683
"1520",25007,17332,78,0
"1521",25009,789034,19846,1266
"1522",25011,70180,443,67
"1523",25013,466372,8277,771
"1524",25015,160830,1325,141
"1525",25017,1611699,28972,2120
"1526",25019,11399,91,1
"1527",25021,706775,11502,1046
"1528",25023,521202,10052,760
"1529",25025,803907,24857,1128
"1530",25027,830622,14747,1086
